"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Central African Republic","CAF","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","176300","177776","193866","200445","215887","221432","234482","238605","240720","243419","246174","259525","271117","291444","308022","309656","274179","286422","297457","323661","308409","277961","","","","","","","","","458585","410562","414537","363158","412381","418825","494985","584078","608075","636871","648370","662317","","","","813767","","","","","","","","",
"Canada","CAN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","2846220","2786106","2695021","2597576","2534137","2440016","2361318","2295925","2239354","2205865","2184919","2296996","2271784","2251535","2244170","2254887","2269639","2290535","2319300","2345000","2375704","2394115","2399224","2400819","2413126","2448144","","2403709","2428620","2456434","","","","2389188","2320738","2305211","2260819","2200335","2193237","2168022","2153778","2182843","2206136","2249164","2303964","2318914","2364626","2407006","2407739","2427843","2387118","2387130","2430798","",
"Central Europe and the Baltics","CEB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","7114951","8071960","7816794","7561466","7455101","7227958","7159502","7124615","7128621","7148066","7125596","7547752","7483719","7693509","7871505","7980711","8322009","8417453","8351844","8190858","7961457","7861733","7807304","7812640","7809599","7775469","7742684","7796121","7668135","7386684","7118397","6843022","6548818","6273652","6054675.5","5777246","5534494","5402565","5199063","5077475","4984701","4908890","4885121","5061799.5","5069779","5111040","5199548","5289611","5292234","5298720","4268968","4387560.5","4404655","4521176","4521176",
"Switzerland","CHE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","557856","561773","561645","556885","503153","502337","485902","468531","450942","434288","415478","398931","385474","376512","373245","375302","383042","394061","404154","414129","443512","447240","461805","477643","","522741","529610","538372","537744","536423","535577","532092","524222","517056","510804","505382","499435","492508","487436","483466","483707","483900","490469","498338","507686","514664","521087","527955","533258","538543","549595","",
"Channel Islands","CHI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","1752005","1876954","1907160","1931356","1937002","1899501","1845796","1825758","1810257","1804834","1754075","1714614","1676005","1647081","1593266","1596471","1574899","","1543596","1564047","1593486","1609140","1583503","1608204","","","1687386","1753867","1777257","1804612","1798515","","1753952","1713538","1755997","1720951","1694765","1679017","1656810","1611682","1546543","1520405","1503898","1472348","1469099","1477538","1493732","1514761","1540085","1552914","1542099","1539846","1545104","1526597","",
"China","CHN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","100668000","105280000","112112000","125492000","135704000","144814000","150940992","150055008","146176000","146240000","146629408","146270000","143328000","139720400","135780400","135571200","133701800","131825000","128358496","125357800","123731000","122413800","121641504","122012800","124212400","128226232","131951480","136150048","139953696","","","130132544","","","","","108925224","107394752","105950504","103617064","101018623","99707841","99540477","97227517","93864554","94793762","97241177","99488344","101118741","103592781","105828195","107474824","108018538","107535825","108566854",
"Cote d'Ivoire","CIV","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","464817","502865","527615","566689","606263","641369","672707","735511","810244","888728","954190","1024585","1085124","1134915","1159824","1179456","1214511","1251531","1306695","1364263","1405187","1414865","1447785","1463963","1553540","1609929","1662265","1735814","1807503","1910820","1943101","2046861","2116223","2046165","","","2111975","2179801","2356240","2383359","","2757613","2920791","3021417","3176874","3370558","3617219","3772136","3900222","4003884","4101430","4102825","4252503","4632737","4817661",
"Cameroon","CMR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","923234","930131","967561","1014135","1074021","1122900","1146437","1202841","1254065","1302974","1379205","1443728","1535582","1563852","1634428","1705319","1795254","1875221","1881884","1946301","1964146","1915148","","1892778","1896722","1786340","1921186","2023809","2133707","2237083","2689052","2741627","2798523","2979011","2977781","2998135","3120357","3201477","3350662","3510396","3585173","3848611","","4142775","4369988","4481235","4371381","4201988","4399897","","4731585","4944290","5155547","5289656",
"Congo, Dem. Rep.","COD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3088011","3181242","3292020","3363384","3429076","3544498","3644578","3789530","3919395","4054758","4195699","4342470","4495346","4654613","4522363","4650756","4156029","4356516","","3429633","4562430","4622758","4870933","4939297","5417506","","","4827679","4022411","","","5455391","","","","","8839888","9973365","10244086","10572422","11082501","12004804","12600876","13534625","13763196","","","16807014","","18789020","20169276","","21145524","",
"Congo, Rep.","COG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","241101","262111","277384","293138","307194","319101","330456","345736","358761","383018","390676","406835","422874","443143","458237","475805","498588","491034","495015","492143","493918","492286","512060","505925","518400","497305","499485","427735","276451","418707","500921","525093","509507","584370","597304","617010","621702","628081","671683","705093","727020","734493","","","","","","783448","","","","","880625","",
"Colombia","COL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","3286052","3466262","3570446","3733193","3791543","3911244","4058044","4160527","4265598","4337607","4168200","4217800","3930303","3983141","4009423","4039533","4002543","4114954","4160580","4205657","4246658","4310970","4525959","4599132","4648335","4692614","4916934","","5136274","5162260","5221018","5131463","5193055","","5259033","5298257","5296190","5292476","5285523","5299258","5084972","4924346","4742456","4708466","4542644","4479218","4448238","4351705","4303833","4263988","4193542","4190726","4140463","","",
"Comoros","COM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","15047","15580","20086","23194","28614","35818","42338","","49940","","59709","","61469","61905","62265","66084","62404","64737","66326","67825","72824","75577","73827","77837","","78527","","85983","82789","93421","","104274","104274","103809","","","104518","111115","","","116564","","120186","120381","","","121517","124240","","","105044","","","102152",
