"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Colombia","COL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","38.20769","38.3984","34.56653","33.91222","32.8813","32.07068","32.25021","32.37915","32.50871","31.14374","30.56291","30.62569","29.83356","29.73447","29.60797","30.38614","29.44692","29.78139","29.84056","29.89499","29.91953","30.10601","27.86149","27.6851","25.85626","24.8125","25.35665","","23.29196","24.02045","26.45241","26.01713","26.81989","","27.95172","28.34839","28.18322","29.51974","29.3957","29.30908","28.13107","27.57965","25.04796","24.98364","24.28676","24.23937","24.31808","23.60132","23.3015","","","","","","",
"Comoros","COM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","41.68144","39.34343","37.6848","41.86643","","47.37831","","","","","46.2144","","38.01422","38.52209","31.17927","34.76276","34.51549","36.4305","37.59977","35.69737","36.50326","39.90338","41.68662","44.81117","","52.07361","","","34.77068","36.83793","","39.20075","35.85763","34.98787","","","","30.15332","","","27.74673","","27.80796","","","","18.90138","28.05781","","","","","","",
"Cabo Verde","CPV","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","38.23014","35.37616","","46.27715","42.31481","52.12711","45.95586","42.13739","37.90271","41.62679","40.10237","","","38.58201","","38.78701","33.62702","33.15381","33.00202","33.41272","36.83175","","","29.42153","","","","28.51103","28.66264","28.72602","28.20162","28.77571","27.931","26.86589","26.01411","25.36885","24.85836","24.36111","23.94141","23.64041","23.25538","22.97124","22.92555","22.60472","21.94779","21.4778","21.08156","21.07361","","","","","","",
"Costa Rica","CRI","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","29.81041","29.52923","29.07381","28.89498","29.09919","29.06935","28.20913","","","26.72512","27.68133","33.02539","31.63091","31.9309","33.78534","31.48334","32.27696","31.48959","31.9293","32.28807","31.88081","32.19896","32.29903","32.44083","31.37283","30.60893","29.54329","28.61276","27.52934","26.82207","24.94075","24.31442","22.59585","","22.34571","21.34285","19.70728","19.494","18.97453","18.40435","17.8517","17.34208","","13.34199","13.22687","12.6763","11.97865","11.62825","12.2047","","","","","","",
"Caribbean small states","CSS","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","35.19","35.72795","33.78963","33.75094","33.48115","32.74947","32.23547","31.36553","31.7689","32.66115","31.06044","30.6317","29.93698","28.02713","28.15163","27.89347","27.38906","27.82019","27.36549","27.21898","27.3834","27.34902","27.19345","26.52727","26.79247","26.64574","26.25716","25.87628","25.10067","24.00699","23.79471","23.56955","23.35398","22.87747","22.35183","21.8851","21.08771","20.09265","20.51481","19.8795","19.36811","19.60888","19.33275","18.73138","18.60026","18.62125","18.51757","18.22539","18.92805","","","","","","",
"Cuba","CUB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","27.05996","28.5622","28.82339","26.1997","24.24474","23.17937","21.61838","19.63922","18.75056","17.91887","17.47407","16.96203","16.3521","15.37914","14.75258","13.96964","13.29788","12.68259","12.29152","12.319","12.51003","12.34485","12.37419","12.90747","13.57722","11.86058","11.7956","11.83972","11.7748","11.49998","10.73922","","10.68011","10.24083","10.30837","9.97784","9.64855","9.61042","9.43833","9.12865","9.11033","9.05528","9.06109","9.06511","8.89917","8.74431","8.82731","9.16029","","","","","","",
"Curacao","CUW","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","25.38636","","","18.83036","","","","","","","","","","","","","","","","","","","15.45933","14.49367","15.16667","14.9125","","13.39044","12.80632","12.1014","11.06269","12.09061","","","12.07576","13.31023","13.0363","","","","","15.74725","","","","","","",
"Cyprus","CYP","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","30.33333","28.90849","27.99215","27.65737","27.26131","26.9405","25.59686","23.77845","23.99867","22.99045","22.20748","20.92374","20.80054","21.0054","21.51726","22.77356","22.77666","21.96193","21.72401","21.37772","20.51548","19.31041","18.86012","18.78096","18.39116","18.73117","15.41195","","18.26784","17.72506","17.19454","19.02568","18.94185","17.60724","17.72706","16.46264","15.63024","14.75299","14.2405","13.75307","13.44153","13.77462","13.59542","13.39274","11.91513","11.86448","12.03922","","","","","","","",
"Czechia","CZE","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","27.02685","27.02718","27.02701","27.02752","27.02692","27.02756","27.02749","29.41132","29.41173","","29.41175","29.4118","29.41233","29.41189","29.41146","29.41227","29.4121","29.41218","25.64486","24.48745","23.09835","22.13338","19.22587","19.64303","20.18596","19.10252","","17.67153","18.28958","16.88543","17.71026","17.3543","16.79405","16.41274","16.24551","15.65768","18.7278","18.47503","18.50084","18.70713","18.82126","18.97433","18.93175","","","","","","","","","","","",
"Germany","DEU","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.63115","16.22708","17.45831","17.04431","17.19019","17.44193","17.02284","15.28331","14.76453","14.29354","14.04776","14.19004","14.12233","13.96375","13.62843","13.49743","13.00225","12.68383","11.82415","11.71402","11.58027","12.29942","12.22305","12.14626","12.30285","","","","","","","",
"Djibouti","DJI","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","35.67778","30.5614","37.77184","37.22271","37.0757","36.43284","","","39.44413","42.29722","40.19332","41.07826","48.30496","44.04637","44.09589","","43.98055","44.03664","43.87206","44.13221","42.73046","43.23927","42.84174","41.93774","39.75482","36.04279","33.66423","38.76771","39.5383","","","","","34.54823","","33.63267","35.48341","34.0344","34.14014","","35.23512","34.93245","34.21598","33.23979","33.02204","31.09517","30.42105","29.37453","","","","","","",
"Dominica","DMA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","34.7877","38.05357","37.92918","","38.0303","","","","","","","","","","","","","","29.23918","29.27536","","","","","","","19.80921","19.55814","18.52512","18.64856","19.01818","19.02119","18.19075","17.23791","17.32064","16.738","16.13922","16.01969","15.92564","15.78295","14.84121","14.25","14.00558","13.07679","","","","","","","","",
